code,lat,lon,name,city,state,country,woeid,tz,phone,type,email,url,runway_length,elev,icao,direct_flights,carriers
AAA,-17.3595,-145.494,Anaa Airport,Anaa,Tuamotu-Gambier,French Polynesia,12512819,Pacific/Midway,,Airports,,,4921,7,NTGA,2,1
AAE,36.8236,7.8103,El Mellah Airport,El Tarf,Annaba,Algeria,12510325,Africa/Algiers,,Airports,,,9843,16,DABB,6,2
AAL,57.0952,9.85606,Aalborg Airport,Norresundby,Nordjylland,Denmark,12512587,Europe/Copenhagen,,Airports,,http://www.aal.dk/,8700,10,EKYT,7,10
AAM,-24.8,31.5333,Mala Mala,Mala Mala,,South Africa,55921381,Africa/Johannesburg,,Airports,,,4420,1200,FAMD,1,1
AAN,24.25,55.75,Al Ain Airport,Ayn al Faydah,Abu Dhabi,United Arab Emirates,12523371,Asia/Dubai,,Airports,,,,,OMAL,12,9
AAQ,44.9,37.3167,Olkhovka Airport,Novorossiysk,Krasnodarskiy Kray,Russia,12516605,Europe/Moscow,,Airports,,,,,URKA,24,15
AAR,56.3088,10.6154,Tirstrup Airport,Kolind,Midtjylland,Denmark,12512604,Europe/Copenhagen,+45 8775 7000,Airports,,http://www.aar.dk,9127,81,EKAH,9,8
AAT,47.7406,88.0845,Altay Airport,Altay,Xinjiang,China,12511977,Asia/Urumqi,,Airports,,,,,ZWAT,1,1
AAX,-19.5603,-46.9653,Romeu Zuma Airport,Araxá,Minas Gerais,Brazil,12511034,America/Sao_Paulo,,Airports,,,6230,3274,SBAX,2,1
AAY,16.1947,52.1694,Al Gaidah Airport,Al Ghaydah,Hadramawt,Yemen,12523000,Asia/Aden,,Airports,,,8858,98,OYGD,3,2
ABA,53.7167,91.4333,Abakan,Abakan,Khakasiya,Russian Federation,2119917,Asia/Krasnoyarsk,,Airports,,,,,UNAA,4,3
ABC,38.9833,-1.85,Los Llanos,Albacete,Castilla-la Mancha,Spain,20081243,Europe/Madrid,,Airports,,,,,LEAB,3,2
ABD,30.3374,48.3032,,Abadan,Khuzestan,Iran,2254271,Asia/Tehran,,Airports,,,10170,10,OIAA,5,3
ABE,40.6514,-75.4342,Lehigh Valley International Airport,Allentown,Pennsylvania,United States,12518581,America/New_York,610-266-6000,Airports,,http://www.lvia.org/,,,KABE,14,11
ABI,32.4164,-99.6803,Abilene Regional Airport,Abilene,Texas,United States,12518518,America/Chicago,,Airports,,,7199,1790,KABI,2,4
ABJ,5.2556,-3.9292,Abidjan Port Bouet Airport,Abidjan,Abidjan,Ivory Coast,12513870,Africa/Abidjan,,Airports,,,8858,20,DIAP,22,29
ABK,6.73719,44.2797,Kabri Dar,Kabri Dar,Ogaden,Ethiopia,1317686,Africa/Addis_Ababa,,Airports,,,10935,1800,HAKD,1,1
ABL,67.1058,-157.854,Ambler Airport,Kiana,Alaska,United States,12518600,America/Anchorage,,Airports,,,2600,289,,2,3
ABM,-10.9438,142.453,Bamaga Airport,Seisia,Queensland,Australia,12510598,Australia/Brisbane,,Airports,,,6700,49,YBAM,1,1
ABQ,35.0494,-106.625,Albuquerque International Airport,Albuquerque,New Mexico,United States,12518564,America/Denver,,Airports,,,13375,5352,KABQ,41,25
ABR,45.4536,-98.4189,Aberdeen Regional Airport,Aberdeen,South Dakota,United States,12518514,America/Chicago,,Airports,,,6904,1301,KABR,3,5
ABS,22.3722,31.6125,Abu Simbel Airport,Abu Simbel,Aswan,Egypt,12512656,Africa/Cairo,,Airports,,,8202,615,HEBL,1,1
ABT,20.2961,41.6342,Al Baha Airport,Al Aqiq,Al Baha,Saudi Arabia,12517321,Asia/Riyadh,,Airports,,,10991,5486,OEBA,3,1
ABV,9.0056,7.2661,Abuja International Airport,Gwagwa,Abuja Capital Territory,Nigeria,12515056,Africa/Lagos,,Airports,,,11808,1122,DNAA,9,12
ABX,-36.0678,146.956,Albury Airport,Albury,New South Wales,Australia,12510583,Australia/Sydney,,Airports,,,6234,539,YMAY,3,5
ABY,31.5328,-84.1867,Southwest Georgia Regional Airport,Albany,Georgia,United States,12521922,America/New_York,,Airports,,,6601,197,KABY,1,2
ABZ,57.2004,-2.20373,Aberdeen Dyce International Airport,Aberdeen,Scotland,United Kingdom,22450858,Europe/London,,Airports,,http://www.aberdeenairport.com/,6002,215,EGPD,37,35
ACA,16.7561,-99.7536,General Juan N Alvarez International Airport,Acapulco,Guerrero,Mexico,12514882,America/Mexico_City,52-748-66-93-23,Airports,,,,,MMAA,12,17
ACC,5.5964,-0.17,Kotoka International Airport,Accra,Greater Accra,Ghana,12513022,Africa/Accra,,Airports,,http://www.gcaa.com.gh/index.html,9800,205,DGAA,25,30
ACE,28.9521,-13.6085,Arrecife Airport,San Bartolomé,Canary Islands,Spain,12523048,Atlantic/Canary,,Airports,,,7874,46,GCRR,49,28
ACH,47.4887,9.55376,Altenrhein Airport,Altenrhein,Canton of St. Gallen,Switzerland,23344872,Europe/Zurich,,Airports,,http://www.airport-stgallen.com/,4350,1306,LSZR,1,1
ACI,49.7134,-2.22089,The Blaye Airport,St. Peter Port,Channel Islands,United Kingdom,12523974,Europe/Jersey,,Airports,,,2887,291,EGJA,2,1
ACK,41.2568,-70.0649,Nantucket Memorial Airport,Nantucket,Massachusetts,United States,12521076,America/New_York,,Airports,,,6303,48,KACK,9,6
ACP,68.1609,-151.696,Sahand Airport,Sahand,,Iran,23424851,Asia/Tehran,,Airports,,,,,KACP,1,1
ACS,47.7006,18.0064,,Achinsk,Krasnoyarskiy Kray,Russia,1979926,Asia/Krasnoyarsk,,Airports,,,,,,0,0
ACT,31.609,-97.2234,Waco Regional Airport,Waco,Texas,United States,12522299,America/Chicago,,Airports,,,6597,516,KACT,2,2
ACV,40.9698,-124.108,Arcata Airport,Mckinleyville,California,United States,12518649,America/Los_Angeles,,Airports,,,5998,218,KACV,6,7
ACX,25.0887,104.89,Xingyi,Xingyi,Guizhou,China,2146722,Asia/Chongqing,,Airports,,,,,,2,2
ACY,39.4512,-74.5716,Atlantic City International Airport,Egg Harbor City,New Jersey,United States,12518689,America/New_York,,Airports,,,10000,76,KACY,6,1
ACZ,31.0385,61.4962,Zabol A/P,Zabol,Sistan va Baluchestan,Iran,2255305,Asia/Tehran,,Airports,,,,,KACZ,1,1
ADA,36.9811,35.2803,Sakirpasa Airport,Adana,Adana,Turkey,12517911,Europe/Istanbul,,Airports,,,9022,64,LTAF,14,4
ADB,38.32,27.1603,Gaziemir Airport,Azmir,İzmir,Turkey,12517893,Europe/Istanbul,,Airports,,,7700,412,LTBJ,37,10
ADD,8.9783,38.8011,Bole International Airport,Addis Ababa,Debub Shewa,Ethiopia,12512758,Africa/Addis_Ababa,,Airports,,,12139,7625,HAAB,43,25
ADE,12.8278,45.0306,Aden International Airport,Ash Shaykh Uthman,`Adan,Yemen,12522998,Asia/Aden,,Airports,,,10270,12,OYAA,15,8
ADF,37.8099,38.3357,Adiyaman Airport,Adiyaman,Adıyaman,Turkey,2347259,Europe/Istanbul,,Airports,,,,,LTAG,2,1
ADJ,31.973,35.9822,Al Matar Airport,Amman,'Amman,Jordan,23388321,Asia/Amman,,Airports,,,,,OJAM,2,2
ADK,51.88,-176.639,Adak Airport,Adak,Alaska,United States,12518524,America/Adak,,Airports,,,7794,19,PADK,1,1
ADL,-34.9464,138.529,Adelaide International Airport,Adelaide,South Australia,Australia,1107231,Australia/Adelaide,,Airports,,http://www.aal.com.au,10171,20,YPAD,24,20
ADQ,57.7545,-152.512,Kodiak Airport,Kodiak,Alaska,United States,12520492,America/Anchorage,,Airports,,,7548,73,PADQ,12,7
ADU,38.2465,48.2951,Ardabil Airport,Ardabil,Ardabil,Iran,2254335,Asia/Tehran,,Airports,,,,,OITL,1,2
ADX,56.377,-2.86117,Leuchars Airport,St. Andrews,Scotland,United Kingdom,12518118,Europe/London,,Airports,,,8707,38,EGQL,2,1
ADZ,12.5811,-81.7092,Sesquicentenario Airport,San Andrés,San Andres y Providencia,Colombia,12512417,America/Bogota,,Airports,,,7808,19,SKSP,7,3
AEH,13.8486,20.8472,Abeche Airport,Abéché,Ouaddai,Chad,12511930,Africa/Ndjamena,,Airports,,,5905,1788,FTTC,1,1
AEP,-34.5617,-58.4113,Aeroparque Jorge Newbery,Buenos Aires,Ciudad de Buenos Aires,Argentina,23388199,America/Buenos_Aires,(54 11) 5480 6111,Airports,,http://www.aa2000.com.ar,6890,20,SABE,31,4
AER,43.447,39.9552,Adler Airport,Sochi,Krasnodarskiy Kray,Russia,12515677,Europe/Moscow,,Airports,,,,,URSS,45,31
AES,62.5607,6.11129,Vigra Airport,Vigra,More og Romsdal,Norway,12515129,Europe/Oslo,+47 70 11 48 00,Airports,,,5249,71,ENAL,6,2
AET,66.55,-152.65,Allakaket Airport,Allakaket,Alaska,United States,12524551,America/Anchorage,,Airports,,,3000,350,,4,4
AEX,31.323,-92.5417,Alexandria International Airport,Alexandria,Louisiana,United States,12519648,America/Chicago,,Airports,,,,,KAEX,5,7
AEY,65.6561,-18.0923,Akureyri Airport,Akureyri,Akureyri,Iceland,12513442,Atlantic/Reykjavik,,Airports,,,6365,6,BIAR,4,1
AFA,-34.5886,-68.4028,San Rafael Airport,San Rafael,Mendoza,Argentina,12510556,America/Buenos_Aires,,Airports,,,7513,2444,SAMR,2,1
AFL,-9.8661,-56.1044,Alta Floresta Airport,Alta Floresta,Mato Grosso,Brazil,12511017,America/Campo_Grande,,Airports,,,5249,288,SBAT,2,2
AFS,41.6136,64.2331,Zarafshan Airport,Zarafshan,Nawoiy,Uzbekistan,2272667,Asia/Samarkand,,Airports,,,,,,1,1
AFT,-9.18333,160.95,Afutara Aerodrome,Afutara,Malaita,Solomon Islands,1020505,Pacific/Guadalcanal,,Airports,,,,,,1,1
AFZ,36.1903,57.7094,Sabzevar Airport,Sabzevar,Khorasan,Iran,12513753,Asia/Tehran,,Airports,,,10428,3010,,1,1
AGA,30.3833,-9.55,Almassira Airport,Agadir,Agadir,Morocco,12523043,Africa/Casablanca,,Airports,,,9547,88,GMAD,15,16
AGF,44.1736,0.59223,La Garenne Airport,Laplume,Aquitaine,France,12512903,Europe/Paris,,Airports,,,7103,203,LFBA,1,1
AGH,56.2873,12.8675,Angelholm Airport,Angelholm,Skane,Sweden,23319131,Europe/Stockholm,,Airports,,http://www.lfv.se/templates/LFV_AirportStartPage____4777.aspx,6562,65,ESTA,4,3
AGL,-9.33333,149.15,Wanigela,Wanigela,Northern,Papua New Guinea,1061994,Pacific/Port_Moresby,,Airports,,,3280,50,,1,1
AGM,65.6667,-37.6667,Angmagssalik Airport,Angmassalik,Ostgronland,Greenland,12523853,America/Godthab,,Airports,,,,,BGAM,1,1
AGN,57.4996,-134.577,Angoon Airport,Angoon,Alaska,United States,12524552,America/Anchorage,,Airports,,,,1,PAGN,1,1
AGP,36.6749,-4.49298,Malaga Airport,Malaga,Andalucia,Spain,23232917,Europe/Madrid,+34 952 048 838,Airports,,http://www.aena.es/csee/Satellite?cid=1048858947193&pagename=Est,10500,52,LEMG,106,59
AGR,27.1632,77.9788,Agra Airport,Agra,Uttar Pradesh,India,12513528,Asia/Kolkata,,Airports,,,9000,551,VIAG,2,1
AGS,33.3735,-81.9732,Bush Field Airport,Augusta,Georgia,United States,12518987,America/New_York,,Airports,,,8001,145,KAGS,2,8
AGT,-25.5266,-54.6226,Alejo Garcia Airport,Presidente Franco,Alto Paraná,Paraguay,12523540,America/Asuncion,,Airports,,,,,SGES,3,4
AGU,21.7047,-102.317,Aguascalientes Airport,Aguascalientes,Aguascalientes,Mexico,12514821,America/Mexico_City,,Airports,,,4921,6112,MMAS,8,11
AGV,9.55194,-69.2367,Acarigua,Acarigua,Portuguesa,Venezuela,12522827,America/Caracas,,Airports,,,5905,640,SVAC,1,1
AGX,10.8415,72.175,Agatti Island Airport,Agatti Island,Lakshadweep,India,12467998,Asia/Kolkata,+91 4894-42217,Airports,,,1204,,VOAT,1,1
AHB,18.24,42.6556,Abha Airport,Hajlah,Asir,Saudi Arabia,12517317,Asia/Riyadh,,Airports,,,10991,6857,OEAB,6,2
AHC,40.2664,-120.151,Amedee Army Air Field,Herlong,California,United States,12518602,America/Los_Angeles,,Military Airport,,,,,KAHC,1,1
AHE,-14.5,-1.3,Ahe Airport,Ahe,Tuamotu-Gambier,French Polynesia,24549702,Pacific/Midway,,Airports,,,,,,3,1
AHO,40.6319,8.29279,Alghero Airport,Alghero,Sardinia,Italy,12513798,Europe/Rome,,Airports,,,9842,88,LIEA,23,11
AHS,15.4534,-84.4041,Ahuas Airport,Auas,Gracias a Dios,Honduras,12524351,America/Tegucigalpa,,Airports,,,2460,98,,1,1
AHU,35.1781,-3.8383,Cote du Rif Airport,Al Hoceima,Al Hoceima,Morocco,12514784,Africa/Casablanca,,Airports,,,7087,89,GMTA,2,1
AIA,42.0622,-102.81,Alliance Municipal Airport,Alliance,Nebraska,United States,12518583,America/Denver,,Airports,,,9202,3929,KAIA,3,3
AIN,70.6139,-159.857,Wainwright Airport,Wainwright,Alaska,United States,12522307,America/Anchorage,,Airports,,,2200,25,PAWT,2,1
AIT,-18.8299,-159.765,Aitutaki Airport,Aitutaki,Aitutaki,Cook Islands,24549676,Pacific/Rarotonga,,Airports,,,5981,14,NCAI,1,2
AIU,-20.0333,-158.1,Atiu Island,Atiu Island,Atiu,Cook Islands,12523056,Pacific/Rarotonga,,Airports,,,2648,200,NCAT,1,1
AJA,41.9204,8.79778,Campo Dell Oro Airport,Ajaccio,Corsica,France,12512869,Europe/Paris,,Airports,,,6972,16,LFKJ,18,6
AJF,29.7897,40.1039,Al Jouf Airport,Sakakah,Al Jawf,Saudi Arabia,12517324,Asia/Riyadh,,Airports,,,12008,2261,OESK,6,1
AJI,39.7239,43.0618,Agri Airport,Agrı,Ağrı,Turkey,12523340,Europe/Istanbul,,Airports,,,,,LTCO,2,1
AJL,23.7361,92.8083,Aizwal Airport,Aizawl,Mizoram,India,12513530,Asia/Kolkata,,Airports,,,3131,1000,VEAZ,3,2
AJN,-12.2234,44.3709,Comoros,Anjouan,Anjouan,Comoros,23424786,Indian/Comoro,,Airports,,,4429,62,FMCV,5,1
AJR,65.592,19.2647,Arvidsjaur Airport,Arvidsjaur,Norrbotten,Sweden,22656498,Europe/Stockholm,,Airports,,,,,ESNX,2,3
AJU,-10.985,-37.0733,Santa Maria Airport,Aracaju,Sergipe,Brazil,12511305,America/Belem,,Airports,,,5372,26,SBAR,5,3
AKA,32.7026,108.912,Ankang Airport,Ankang,Shaanxi,China,12511979,Asia/Shanghai,,Airports,,,,,ZLAK,1,1
AKB,52.2217,-174.204,Atka Airport,Atka,Alaska,United States,12518685,America/Adak,,Airports,,,3100,33,,1,2
AKF,24.1819,23.3189,Kufra Airport,Kufrah,Al Kufrah,Libya,12514656,Africa/Tripoli,,Airports,,,12007,1367,HLKF,1,2
AKI,60.8866,-161.218,Akiak Airport,Bethel,Alaska,United States,12524554,America/Anchorage,,Airports,,,2000,22,,1,2
AKJ,43.665,142.453,Asahikawa Airport,Asahikawa-shi,Hokkaido Prefecture,Japan,28360516,Asia/Tokyo,,Airports,,,6560,709,RJEC,4,5
AKK,56.95,-154.167,Akhiok Airport,Kodiak,Alaska,United States,12524555,America/Anchorage,,Airports,,,2170,50,PAKH,1,1
AKL,-37.0085,174.782,Auckland International Airport,Manukau City,Auckland,New Zealand,12515151,Pacific/Auckland,+64 9 256 8899,Airports,,http://www.auckland-airport.co.nz/,10800,23,NZAA,52,35
AKN,58.6775,-156.655,King Salmon Airport,King Salmon,Alaska,United States,12520466,America/Anchorage,,Airports,,,8500,57,PAKN,14,7
AKP,68.1916,-151.79,Anaktuvuk Pass Airport,Anaktuvuk Pass,Alaska,United States,12524556,America/Anchorage,,Airports,,,5500,2100,PAKP,3,4
AKS,-27.6667,27.3167,Kroonstad Airport,Kroonstad,Free State,South Africa,12517431,Africa/Johannesburg,,Airports,,,,,FAKS,1,1
AKU,41.171,80.1982,Aksu Airport,Aksu,Xinjiang,China,12511976,Asia/Kashgar,,Airports,,,,,ZWAK,1,1
AKV,60.8142,-78.1509,Akulivik Airport,Chisasibi,Quebec,Canada,12524039,America/Iqaluit,,Airports,,,,,CYKO,2,1
AKX,50.2362,57.2115,Aktyubinsk Airport,Aqtobe,Aqtobe,Kazakhstan,12514256,Asia/Aqtobe,,Airports,,,10170,722,UATT,4,3
AKY,20.1303,92.8803,Sittwe Airport,Sittwe,Rakhine State,Myanmar,12510936,Asia/Rangoon,,Airports,,,6000,28,VYSW,3,3
ALA,43.3608,77.0319,Alma Ata Airport,Almaty,Almaty,Kazakhstan,12514259,Asia/Almaty,,Airports,,,14427,2234,UAAA,44,36
ALB,42.7426,-73.809,Albany International Airport,Latham,New York,United States,12518554,America/New_York,518-242-2222,Airports,,http://www.albanyairport.com,7200,285,KALB,27,27
ALC,38.2844,-0.5576,Alicante Airport,Elx,Valencia,Spain,22412043,Europe/Madrid,,Airports,,,9842,141,LEAL,91,37
ALF,69.9793,23.3571,Alta Airport,Alta,Finnmark Fylke,Norway,12515099,Europe/Oslo,,Airports,,,5249,9,ENAT,7,3
ALG,36.6993,3.21935,Houari Boumediene Airport,Algiers,Alger,Algeria,12510331,Africa/Algiers,,Airports,,http://www.egsa.dz,11483,82,DAAG,62,20
ALH,-34.9447,117.808,Albany Airport,Albany,Western Australia,Australia,12510582,Australia/Perth,,Airports,,,5250,232,YABA,1,1
ALM,32.8407,-105.994,Alamogordo White Sands Regional Airport,Alamogordo,New Mexico,United States,12518553,America/Denver,,Airports,,,7005,4197,KALM,1,1
ALO,42.5509,-92.3951,Waterloo Municipal Airport,Waterloo,Iowa,United States,12522347,America/Chicago,,Airports,,,8401,873,KALO,1,4
ALP,36.1808,37.2267,Aleppo International Airport,Djibrine,H'alab,Syria,12517695,Asia/Damascus,,Airports,,,9908,1276,OSAP,19,13
ALS,37.4444,-105.865,San Luis Valley Regional Airport,Alamosa,Colorado,United States,12521726,America/Denver,,Airports,,,8499,7535,KALS,1,3
ALW,46.0879,-118.283,Walla Walla Regional Airport,Walla Walla,Washington,United States,12522317,America/Los_Angeles,,Airports,,,7186,1205,KALW,1,4
ALY,31.1845,29.9491,An-Nuzhah Airport,Alexandria,Al Iskandariyah,Egypt,23388264,Africa/Cairo,,Airports,,,7021,,HEAX,19,15
ALZ,56.8988,-154.246,Alitak Seaplane Base,Alitak,Alaska,United States,12524557,America/Anchorage,,Sea Plane Base,,,,1,,1,1
AMA,35.2177,-101.706,Amarillo International Airport,Amarillo,Texas,United States,12518598,America/Chicago,,Airports,,,13502,3606,KAMA,7,10
AMD,23.0728,72.6328,Sardar Vallabhbhai Patel International Airport,Ahmedabad,Gujarat,India,12513529,Asia/Kolkata,,Airports,,,7500,184,VAAH,16,15
AMH,6.01327,37.5405,Ethiopia,Arba Mintch,Gamo Gofa,Ethiopia,23424808,Africa/Addis_Ababa,,Airports,,,3999,4000,HAAM,1,1
AMI,-8.562,116.098,Selaparang,Mataram,Nusa Tenggara Barat,Indonesia,12513504,Asia/Makassar,,Airports,,,5249,48,WRRA,6,7
AMM,31.7231,35.9936,Queen Alia International Airport,Amman,'Amman,Jordan,12514059,Asia/Amman,,Airports,,,12008,2395,OJAI,62,41
AMQ,-3.7067,128.078,Pattimura Airport,Ambon,Maluku,Indonesia,12513492,Asia/Jakarta,,Airports,,,6070,33,WAPP,5,3
AMS,52.3122,4.77511,Schiphol Airport,Schiphol Zuid,North Holland,Netherlands,22386730,Europe/Amsterdam,+31-207940800,Airports,,http://www.schiphol.com/,12467,-11,EHAM,284,118
AMV,69.7638,61.5586,Amderma Airport,Nar'yan-Mar,Nenetskiy Avtonomnyy Okrug,Russia,12515701,Europe/Moscow,,Airports,,,,,ULDD,1,1
AMY,38.4819,-100.608,Ambatomainty,Ambatomainty,Fianarantsoa,Madagascar,1489538,Indian/Antananarivo,,Airports,,,3010,1050,,2,1
ANC,61.1767,-149.961,Anchorage International Airport,Anchorage,Alaska,United States,12518613,America/Anchorage,(907) 266-2526,Airports,,http://www.dot.state.ak.us/anc/index.shtml,10897,144,PANC,62,47
ANE,47.5603,-0.312222,Aéroport d'Angers-Marcé,Seiches-sur-le-Loir,Pays de la Loire,France,22868196,Europe/Paris,,Airports,,,4052,184,LFRA,1,1
ANF,-23.44,-70.4419,Cerro Moreno International Airport,Antofagasta,Antofagasta,Chile,12512312,America/Santiago,,Airports,,,8527,460,SCFA,7,5
ANG,45.7274,0.21835,Brie Champniers Airport,Champniers,Poitou-Charentes,France,12512864,Europe/Paris,,Airports,,,2723,289,LFBU,1,1
ANI,61.5742,-159.535,Aniak Airport,Bethel,Alaska,United States,12524558,America/Anchorage,,Airports,,,6000,88,PANI,6,8
ANM,-18.7772,46.8543,Madagascar,Antalaha,,Madagascar,23424883,Indian/Antananarivo,,Airports,,,3914,20,FMNH,3,1
ANR,51.1896,4.45236,Deurne Airport,Antwerp,Antwerp,Belgium,22028955,Europe/Brussels,,Airports,,,4839,39,EBAW,3,2
ANU,17.1375,-61.79,V C Bird International Airport,Carlisle,Saint George,Antigua and Barbuda,12510300,America/Antigua,,Airports,,,9000,62,TAPA,28,14
ANV,62.65,-160.217,Anvik Airport,Anvik,Alaska,United States,12524559,America/Nome,,Airports,,,2880,325,PANV,2,3
ANX,69.3088,16.1236,Andoya Airport,Andenes,Nordland Fylke,Norway,12515100,Europe/Oslo,,Airports,,,8005,46,ENAN,4,1
AOC,50.9794,12.5111,Altenburg Nobitz,Altenburg,Thuringia,Germany,12597007,Europe/Berlin,,Airports,,http://www.flughafen-altenburg.de,2235,641,EDAC,2,1
AOE,39.7905,30.5172,Anadolu University Airport,Eskişehir,Eskişehir,Turkey,12523341,Europe/Istanbul,,Airports,,,,,,2,2
AOI,43.6158,13.3634,Falconara Airport,Falconara Marittima,Marche,Italy,12513819,Europe/Rome,,Airports,,http://www.ancona-airport.com,9810,50,LIPY,12,16
AOJ,40.7357,140.69,Aomori Airport,Aomori-shi,Aomori Prefecture,Japan,12523065,Asia/Tokyo,,Airports,,,4590,662,RJSA,6,3
AOK,35.4239,27.1472,Karpathos Airport,Karpathos,Notio Aigaio,Greece,12513293,Europe/Athens,,Airports,,,6890,23,LGKP,6,3
AOO,40.2952,-78.324,Altoona-Blair County Airport,Martinsburg,Pennsylvania,United States,12518593,America/New_York,,Airports,,,5466,1504,KAOO,2,1
AOR,6.1947,100.404,Sultan Abdul Halim Airport,Kepala Batas,Kedah,Malaysia,12515009,Asia/Kuala_Lumpur,,Airports,,,6600,15,WMKA,1,2
AOS,57.4672,-153.839,Amook Bay Seaplane Base,Amook,Alaska,United States,12524560,America/Anchorage,,Airports,,,,,,2,1
APA,39.5752,-104.845,Centennial Airport,Englewood,Colorado,United States,12519112,America/Denver,,Other Airport,,,10002,5883,KAPA,0,0
APF,26.1483,-81.7745,Naples Municipal Airport,Naples,Florida,United States,12521078,America/New_York,,Airports,,,5000,9,KAPF,2,1
APK,-8.64687,-131.787,French Polynesia,Apataki,,French Polynesia,23424817,Pacific/Midway,,Airports,,,2756,3,NTGD,2,1
APL,-15.1,39.2814,Nampula Airport,Nampula,Nampula,Mozambique,12515027,Africa/Maputo,,Airports,,,6562,1457,FQNP,5,2
APN,45.07,-83.5683,Alpena County Regional Airport,Alpena,Michigan,United States,12518585,America/New_York,,Airports,,,9001,689,KAPN,2,4
APO,7.88361,-76.6321,Apartado Airport,Apartadó,Antioquia,Colombia,12523474,America/Bogota,,Airports,,,,,,1,3
APW,-13.8255,-171.993,Faleolo Airport,Apia,A`ana,Samoa,12523066,Pacific/Apia,,Airports,,,8858,58,NSFA,7,6
AQG,30.5167,117.033,Anqing Airport,Anqing,Anhui,China,12523067,Asia/Shanghai,,Airports,,,,,ZSAQ,2,2
AQI,28.3317,46.13,Hafr Al Batin Airport,Qaisumah,,Saudi Arabia,12517338,Asia/Riyadh,,Airports,,,7054,1175,,2,1
AQJ,29.6119,35.0178,Aqaba International Airport,Aqaba,Al `Aqabah,Jordan,12514051,Asia/Amman,,Airports,,,9843,174,OJAQ,10,5
AQP,-16.3372,-71.5692,Rodriguez Ballon Airport,Arequipa,Arequipa,Peru,12515218,America/Lima,,Airports,,,9777,8365,SPQU,3,6
ARC,68.1167,-145.583,Arctic Village Airport,Arctic Village,Alaska,United States,12524562,America/Anchorage,,Airports,,,4450,2086,PARC,3,3
ARD,35.1437,-93.1848,Alor Island,Alor Island,,Indonesia,23424846,Asia/Jakarta,,Airports,,,2952,39,,1,1
ARH,64.4465,40.4242,Arkhangelsk Airport,Arkhangel'sk,Arkhangelrskaya Oblast,Russia,12515724,Europe/Moscow,,Airports,,,,,ULAA,13,5
ARI,-18.3458,-70.3358,Chacalluta Airport,Arica,Tarapaca,Chile,12512313,America/Santiago,,Airports,,,7119,180,SCAR,3,4
ARK,-3.36515,36.6738,Arusha Airport,Arusha,Arusha,Tanzania,24554855,Africa/Dar_es_Salaam,,Airports,,,,,HTAR,1,2
ARM,-30.5308,151.618,Armidale Airport,Armidale,New South Wales,Australia,12510590,Australia/Sydney,,Airports,,,5702,3556,YARM,1,1
ARN,59.6521,17.9317,Arlanda Airport,Märst,Stockholm,Sweden,12517610,Europe/Stockholm,+46 8 797 6000,Airports,,http://www.arlanda.se,10827,123,ESSA,126,76
ART,43.9942,-76.0232,Watertown International Airport,Dexter,New York,United States,12522348,America/New_York,,Airports,,,5000,325,KART,1,1
ARU,-21.1436,-50.4261,Aracatuba Airport,Araçatuba,Sao Paulo,Brazil,12511026,America/Sao_Paulo,,Airports,,,6955,1358,SBAU,2,1
ARV,45.9296,-89.7371,Lakelan-Noble F. Lee Memerial Field Airport,Woodruff,Wisconsin,United States,12521141,America/Chicago,,Airports,,,5000,1628,KARV,2,1
ARW,46.1805,21.2609,Ceala Airport,Arad,Arad,Romania,12515518,Europe/Bucharest,,Airports,,http://www.aeroportularad.ro/index_en.html,6562,351,LRAR,5,1
ASA,31.4124,-97.0528,Assab,Assab,,Ethiopia,23424808,Africa/Addis_Ababa,,Airports,,,7546,46,HHSB,1,1
ASB,37.9842,58.3294,Ashkhabad Northwest Airport,Ashgabat,Ashkhabad,Turkmenistan,12517960,Asia/Ashgabat,,Airports,,,9842,689,UTAA,15,8
ASD,24.6978,-77.7961,Andros Town Airport,Fresh Creek,Central Andros,Bahamas,12510859,America/Nassau,,Airports,,,4000,5,MYAF,1,1
ASE,39.2197,-106.864,Aspen Pitkin County Airport-Sardy Field,Aspen,Colorado,United States,12518679,America/Denver,,Airports,,,7003,7815,KASE,5,5
ASF,46.2971,48.0515,Astrakhan Southeast Airport,Astrakhan',Astrakhanskaya Oblast,Russia,12515745,Europe/Samara,,Airports,,,,,URWA,7,7
ASI,-7.93586,-14.4081,Wideawake Fld,"Georgetown, Ascension Island",Ascension,St. Helena,12466481,Atlantic/St_Helena,,Airports,,,,,FHAW,2,1
ASJ,28.431,129.712,Amami Airport,Amami O Shima,Mie Prefecture,Japan,12513942,Asia/Tokyo,,Airports,,,4070,59,RJKA,3,2
ASM,15.2906,38.9103,Yohannes Iv International Airport,Asmara,Maekel,Eritrea,12512750,Africa/Asmara,,Airports,,,9843,7661,HHAS,9,7
ASO,10.0611,34.5344,Ethiopia,Asosa,Welega,Ethiopia,23424808,Africa/Addis_Ababa,,Airports,,,3346,5260,HASO,1,1
ASP,-23.802,133.892,Alice Springs Airport,Alice Springs,Northern Territory,Australia,12510584,Australia/Darwin,,Airports,,,8000,1789,YBAS,8,3
ASR,38.7708,35.4939,Erkilet Airport,Kayseri,Kayseri,Turkey,12517886,Europe/Istanbul,,Airports,,,5500,3571,LTAU,7,2
ASU,-25.2397,-57.5189,Silvio Pettirossi International Airport,Colonia Mariano Roque Alonso,Central,Paraguay,12515187,America/Asuncion,,Airports,,,11000,292,SGAS,9,8
